NODE	NODE_CATEGORY	LEAF_CNT	CATEGORY_CNT	LEAF_PCT	MDE_AMB	MDE_ELE	NCD_AMB	NCD_ELE	NTS_CREO_AMB	NTS_CREO_ELE	NTS_CRUST_AMB	NTS_CRUST_ELE	ORNL_AMB	ORNL_ELE	CRUST_AMB_064	CRUST_ELE_004
177	Gammaproteobacteria	3	1	4.3	24	26	10	14	5	27	18	24	12	16	1	5
178	Gammaproteobacteria	2	1	2.9	30	46	14	15	13	26	17	27	16	14	5	13
179	Gammaproteobacteria	13	1	18.8	3	1	0	1	0	1	1	2	1	2	1	0
180	Gammaproteobacteria	2	1	2.9	2	1	0	1	0	0	1	0	1	0	0	0
181	Gammaproteobacteria	11	1	15.9	124	125	78	97	64	109	50	98	100	90	24	20
182	Gammaproteobacteria	7	1	10.1	62	61	33	41	23	41	20	43	54	39	10	19
183	Gammaproteobacteria	3	1	4.3	27	34	12	19	11	16	7	17	14	22	4	6
184	Gammaproteobacteria	2	1	2.9	25	17	14	15	8	14	8	15	13	7	1	2
185	Gammaproteobacteria	4	1	5.8	18	12	5	8	6	12	11	16	9	8	4	2
186	Gammaproteobacteria	3	1	4.3	38	31	20	20	24	23	7	28	18	13	8	11
187	Gammaproteobacteria	2	1	2.9	34	31	15	21	13	31	10	22	18	17	12	10
188	Gammaproteobacteria	4	1	5.8	33	31	24	37	26	47	27	42	29	22	13	18
189	Gammaproteobacteria	3	1	4.3	151	117	87	131	73	142	65	169	138	108	36	47
190	Gammaproteobacteria	2	1	2.9	18	14	1	20	11	15	4	20	13	15	1	3
191	Beta+Gammaproteobacteria	58	2	NA	2006	1867	735	866	485	932	482	816	1100	987	214	254
192	Gammaproteobacteria	16	1	23.2	84	72	21	29	13	27	7	21	31	33	6	5
193	Gammaproteobacteria	13	1	18.8	251	259	74	70	49	82	38	65	89	89	15	31
194	Gammaproteobacteria	6	1	8.7	82	91	18	29	21	38	20	34	47	40	5	8
195	Gammaproteobacteria	3	1	4.3	18	16	2	3	3	6	4	3	4	8	1	0
196	Gammaproteobacteria	2	1	2.9	13	12	2	5	3	4	4	5	6	3	2	0
197	Gammaproteobacteria	3	1	4.3	15	25	4	6	1	12	2	3	13	10	0	2
198	Gammaproteobacteria	2	1	2.9	53	59	15	16	5	11	4	13	11	15	4	0
199	Gammaproteobacteria	7	1	10.1	31	34	4	14	10	11	2	4	15	13	3	3
200	Gammaproteobacteria	2	1	2.9	4	5	1	2	0	0	0	2	3	1	0	0
201	Gammaproteobacteria	5	1	7.2	0	1	0	2	0	0	0	0	0	2	0	0
202	Gammaproteobacteria	4	1	5.8	51	63	16	15	10	18	11	22	25	20	6	5
203	Gammaproteobacteria	2	1	2.9	21	35	18	20	6	3	6	8	10	16	4	4
204	Gammaproteobacteria	2	1	2.9	14	17	1	3	3	4	5	3	3	4	0	1
205	Gammaproteobacteria	3	1	4.3	1	4	1	4	0	2	0	0	3	2	0	0
206	Gammaproteobacteria	2	1	2.9	8	3	3	3	1	3	0	0	7	4	0	0
207	Beta+Gammaproteobacteria	42	2	NA	1469	1311	482	631	327	627	375	680	774	707	202	186
208	Gammaproteobacteria	10	1	14.5	165	150	16	19	9	14	3	15	17	18	3	7
209	Gammaproteobacteria	8	1	11.6	71	89	17	28	15	33	13	25	44	41	11	5
210	Gammaproteobacteria	5	1	7.2	137	99	22	41	10	15	5	16	33	16	2	4
211	Gammaproteobacteria	4	1	5.8	152	119	20	27	8	15	6	13	27	20	1	5
212	Gammaproteobacteria	3	1	4.3	71	82	7	15	8	17	1	10	11	9	1	2
213	Gammaproteobacteria	2	1	2.9	30	30	9	9	5	12	2	7	16	7	1	1
214	Gammaproteobacteria	3	1	4.3	160	154	82	101	38	82	33	81	107	94	19	28
215	Gammaproteobacteria	2	1	2.9	221	206	162	155	106	172	74	133	189	163	26	35
216	Gammaproteobacteria	2	1	2.9	0	2	0	0	1	1	0	1	1	1	0	0
217	Beta+Gammaproteobacteria	32	2	NA	69	54	33	46	19	39	29	45	49	52	17	15
218	Beta+Gammaproteobacteria	31	2	NA	111	146	69	72	44	72	46	88	118	115	16	26
219	Gammaproteobacteria	2	1	2.9	16	13	5	4	4	5	4	5	6	5	0	2
220	Betaproteobacteria	29	1	100	1869	1671	740	857	436	851	429	787	1266	1326	187	255
221	Betaproteobacteria	9	1	31	463	371	104	132	44	109	42	58	233	255	12	24
222	Betaproteobacteria	5	1	17.2	179	186	30	34	17	34	13	26	56	62	2	10
223	Betaproteobacteria	4	1	13.8	55	47	18	21	9	20	2	9	47	50	2	5
224	Betaproteobacteria	2	1	6.9	30	19	3	10	1	3	4	3	9	23	0	2
225	Betaproteobacteria	2	1	6.9	148	131	44	49	22	36	12	23	74	96	6	6
226	Betaproteobacteria	4	1	13.8	239	192	88	85	24	61	24	61	135	132	9	23
227	Betaproteobacteria	3	1	10.3	463	396	137	143	82	134	81	141	293	268	31	44
228	Betaproteobacteria	2	1	6.9	185	173	77	86	45	87	49	80	99	105	14	18
229	Betaproteobacteria	20	1	69	136	128	65	94	48	92	35	75	118	113	13	16
230	Betaproteobacteria	2	1	6.9	19	10	5	6	1	0	0	4	12	10	0	0
231	Betaproteobacteria	18	1	62.1	348	352	233	258	172	291	117	216	348	366	55	67
232	Betaproteobacteria	2	1	6.9	322	270	174	211	140	299	154	285	275	240	43	68
233	Betaproteobacteria	16	1	55.2	733	702	705	843	429	852	419	787	1108	1063	179	269
234	Betaproteobacteria	6	1	20.7	58	40	27	25	22	26	16	30	45	46	3	8
235	Betaproteobacteria	5	1	17.2	80	76	102	127	57	127	34	89	143	117	24	28
236	Betaproteobacteria	4	1	13.8	134	128	201	214	63	125	61	123	212	173	30	32
237	Betaproteobacteria	3	1	10.3	23	21	8	14	1	7	5	3	27	25	3	6
238	Betaproteobacteria	2	1	6.9	145	125	106	133	64	114	59	99	149	142	23	24
239	Betaproteobacteria	10	1	34.5	531	519	321	359	249	449	232	413	588	607	99	137
240	Betaproteobacteria	2	1	6.9	94	162	51	95	67	89	36	72	120	144	14	31
241	Betaproteobacteria	8	1	27.6	555	576	529	658	433	831	396	651	929	846	157	226
242	Betaproteobacteria	5	1	17.2	214	237	239	322	211	420	199	363	405	368	76	127
243	Betaproteobacteria	2	1	6.9	158	140	138	186	108	211	119	178	207	201	42	49
244	Betaproteobacteria	3	1	10.3	62	59	56	51	61	79	64	90	80	71	20	24
245	Betaproteobacteria	2	1	6.9	74	63	49	49	69	81	50	78	103	71	24	34
246	Betaproteobacteria	3	1	10.3	148	166	113	126	115	206	65	138	212	202	38	42
247	Betaproteobacteria	2	1	6.9	59	56	27	38	54	92	38	56	86	59	13	17
248	Multi-Phyla (12)	155	12	NA	6666	6195	4149	4735	2415	4810	2796	5449	5891	5041	1346	1621
249	Multi-Phyla (7)	102	7	NA	3303	2913	2513	2847	1677	3019	1868	3320	3231	2707	860	986
250	Multi-Phyla (6)	42	6	NA	1216	993	989	1069	314	663	336	683	1311	1105	163	216
251	Multi-Phyla (3)	11	3	NA	64	47	45	55	11	12	10	16	86	60	5	4
252	Acidobacteria+Other	5	2	NA	11	10	9	6	2	3	3	7	23	17	3	1
253	Other	2	1	33.3	3	5	1	0	1	0	1	1	1	2	0	0
254	Acidobacteria	3	1	100	563	463	1447	1652	133	367	134	341	1968	1587	63	127
255	Acidobacteria	2	1	66.7	232	173	984	1242	56	143	64	148	1218	769	17	52
256	Aquificae+Other	6	2	NA	14	14	5	6	2	6	5	9	10	11	3	3
257	Aquificae	5	1	100	97	74	34	37	14	52	23	59	56	53	13	12
258	Aquificae	3	1	60	69	68	25	34	14	20	11	33	38	46	5	11
259	Aquificae	2	1	40	8	13	2	8	3	4	0	5	5	6	1	3
260	Aquificae	2	1	40	27	31	21	19	7	19	13	19	22	13	5	4
261	Multi-Phyla (3)	31	3	NA	219	215	49	47	31	74	33	67	81	54	11	18
262	Epsilonproteobacteria+Nontaxonomic	11	2	NA	77	51	17	21	15	11	4	15	14	19	2	7
263	Epsilonproteobacteria+Nontaxonomic	10	2	NA	90	111	17	17	7	15	16	29	24	18	4	13
264	Epsilonproteobacteria+Nontaxonomic	9	2	NA	55	75	9	14	16	27	15	19	39	18	6	8
265	Epsilonproteobacteria	2	1	22.2	6	2	2	1	0	0	1	4	0	1	0	0
266	Epsilonproteobacteria+Nontaxonomic	7	2	NA	53	89	12	12	7	11	8	18	19	10	2	1
267	Epsilonproteobacteria	2	1	22.2	8	10	0	2	2	1	4	1	5	0	1	1
268	Epsilonproteobacteria+Nontaxonomic	5	2	NA	74	82	12	11	4	13	6	16	18	11	3	5
269	Epsilonproteobacteria+Nontaxonomic	2	2	NA	54	45	14	13	7	16	6	14	14	18	8	5
270	Epsilonproteobacteria+Nontaxonomic	3	2	NA	82	74	4	8	0	4	3	3	6	17	2	6
271	Epsilonproteobacteria+Nontaxonomic	2	2	NA	79	103	12	10	5	15	7	19	19	10	5	3
272	Deltaproteobacteria	20	1	100	1141	1010	275	330	173	334	170	367	477	407	72	117
273	Deltaproteobacteria	8	1	40	484	492	330	346	251	476	309	592	525	480	123	178
274	Deltaproteobacteria	6	1	30	76	62	27	46	8	42	21	44	49	48	12	15
275	Deltaproteobacteria	3	1	15	372	372	193	246	126	247	135	266	298	283	61	69
276	Deltaproteobacteria	2	1	10	131	127	50	84	30	67	42	84	120	92	17	29
277	Deltaproteobacteria	3	1	15	110	102	25	36	18	27	11	26	48	47	9	8
278	Deltaproteobacteria	2	1	10	211	217	72	65	22	57	31	54	118	136	9	15
279	Deltaproteobacteria	2	1	10	656	561	447	427	762	1371	1166	1903	754	662	458	395
280	Deltaproteobacteria	12	1	60	33	24	11	8	6	13	4	15	16	9	6	5
281	Deltaproteobacteria	11	1	55	768	567	71	115	51	77	52	103	114	113	18	34
282	Deltaproteobacteria	7	1	35	332	261	58	42	18	20	17	28	77	50	3	14
283	Deltaproteobacteria	6	1	30	574	473	45	65	21	47	18	46	67	62	14	13
284	Deltaproteobacteria	3	1	15	400	310	21	15	8	16	6	29	18	21	6	9
285	Deltaproteobacteria	2	1	10	686	549	15	10	5	17	7	15	40	23	2	7
286	Deltaproteobacteria	3	1	15	157	156	15	17	6	19	4	16	19	15	4	7
287	Deltaproteobacteria	2	1	10	126	145	11	13	2	9	4	13	22	8	3	8
288	Deltaproteobacteria	4	1	20	177	143	25	35	13	28	14	30	44	33	7	10
289	Deltaproteobacteria	2	1	10	37	27	7	8	1	7	4	6	9	6	0	1
290	Deltaproteobacteria	2	1	10	86	47	9	10	5	13	7	14	13	13	3	5
291	Alphaproteobacteria+Other	60	2	NA	235	218	95	147	107	166	112	217	147	130	53	63
