NODE	NODE_CATEGORY	LEAF_CNT	CATEGORY_CNT	LEAF_PCT	MDE_AMB	MDE_ELE	NCD_AMB	NCD_ELE	NTS_CREO_AMB	NTS_CREO_ELE	NTS_CRUST_AMB	NTS_CRUST_ELE	ORNL_AMB	ORNL_ELE	CRUST_AMB_064	CRUST_ELE_004
358	Planctomycetes	4	1	80	324	273	206	230	129	280	152	289	275	239	66	97
359	Planctomycetes	3	1	60	593	534	295	336	139	297	122	263	373	364	68	91
360	Planctomycetes	2	1	40	846	801	277	317	128	333	100	171	340	313	47	74
361	Chlamydiae+Verrucomicrobia	8	2	NA	28	17	13	7	5	10	6	11	14	13	1	5
362	Chlamydiae	3	1	75	16	23	8	7	5	4	3	3	8	5	1	1
363	Chlamydiae	2	1	50	26	36	15	14	7	10	5	13	20	18	2	2
364	Chlamydiae+Verrucomicrobia	5	2	NA	45	37	26	20	9	12	9	16	27	20	7	4
365	Verrucomicrobia	4	1	100	46	54	84	95	7	20	7	18	72	61	9	6
366	Verrucomicrobia	3	1	75	33	48	39	52	3	11	6	12	29	27	1	4
367	Verrucomicrobia	2	1	50	123	138	87	86	20	49	31	40	100	82	4	7
368	Bacteroidetes+Other	35	2	NA	125	120	82	63	68	188	162	226	123	115	64	65
369	Bacteroidetes	34	1	100	260	252	65	64	61	107	79	151	94	74	30	30
370	Bacteroidetes	5	1	14.7	100	105	30	36	21	38	28	48	45	33	4	10
371	Bacteroidetes	4	1	11.8	170	178	30	43	21	51	33	50	67	49	13	24
372	Bacteroidetes	3	1	8.8	74	83	19	27	10	28	14	25	41	20	6	11
373	Bacteroidetes	2	1	5.9	183	154	36	68	30	81	46	80	83	74	21	27
374	Bacteroidetes	29	1	85.3	230	225	83	100	74	154	108	250	103	82	46	44
375	Bacteroidetes	2	1	5.9	103	96	27	42	24	70	35	54	50	43	27	14
376	Bacteroidetes	27	1	79.4	1319	1566	621	724	654	1261	639	1764	736	643	355	283
377	Bacteroidetes	6	1	17.6	22	36	14	7	8	19	17	39	10	8	9	4
378	Bacteroidetes	5	1	14.7	299	342	117	145	165	319	202	574	143	111	110	72
379	Bacteroidetes	2	1	5.9	193	226	108	130	198	403	217	647	160	108	142	96
380	Bacteroidetes	3	1	8.8	72	84	21	25	43	64	51	134	16	22	18	15
381	Bacteroidetes	2	1	5.9	32	32	15	11	20	33	26	56	15	9	12	11
382	Bacteroidetes	21	1	61.8	369	471	207	243	223	431	215	556	227	198	129	99
383	Bacteroidetes	2	1	5.9	90	131	76	115	89	176	77	231	111	69	43	43
